 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
PC8610        7.6810    1.8440    0.0  A1   (T)  'C603H40', 'C603H40'
PC8611        7.9140    2.1470  180.0  A1   (T)  'C603H40', 'C603H40'
PC8613        8.0190    1.8860    0.0  A1   (T)  'C603H40', 'C603H40'
PC8614        7.9480    1.8850    0.0  A1   (T)  'C402H22', 'C402H22'
PC8615        7.6750    1.8440  180.0  A1   (B)  'C603H40_B', 'C603H40_B'
PC8616        7.6420    2.1340  180.0  A1   (T)  'C402H22', 'C402H22'
PC8617        7.8630    2.1340  180.0  A1   (T)  'C603H36', 'C603H36'
PC8618        7.8230    2.1380  180.0  A1   (T)  'C402H22', 'C402H22'
PC8619        7.7780    1.8550    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
PC8620        7.9650    2.1470  180.0  A1   (T)  'C603H40', 'C603H40'
PC8621        7.8990    1.8850    0.0  A1   (T)  'C603H40', 'C603H40'
PC8627        6.2180    3.3120    0.0  A1   (B)  'C603H38_B', 'C603H38_B'
PC8628        6.5170    3.2100  180.0  A1   (B)  'C603H40_B', 'C603H40_B'
PC8629        6.1680    3.1490  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
PC8630        6.1680    3.3010    0.0  A1   (B)  'C603H38_B', 'C603H38_B'
PC8631        6.5670    3.2100  180.0  A1   (B)  'C603H40_B', 'C603H40_B'
PC8632        6.3470    3.1530    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
TC3502        1.5110    0.9130  180.0  A1   (B)  'C1206H75', 'C1206H75'
L7602         7.6320    4.0010   90.0  A1   (B)  'L603H38_B', 'L603H38_B'
L7801         7.7570    3.4540  315.0  A1   (T)  'L603H38', 'L603H38'
L7901         7.5730    3.1750   45.0  A1   (T)  'L603H38', 'L603H38'
L7902         7.6880    3.9160  225.0  A1   (B)  'L603H38_B', 'L603H38_B'
L8001         7.7100    3.0750  135.0  A1   (T)  'L603H38', 'L603H38'
PL4401        6.1500    0.3290  270.0  A1   (B)  'L11102530H158', 'L11102530H158'
PL4501        7.9810    1.7090  270.0  A1   (B)  'L4947-1015H119', 'L4947-1015H119'
PL4502        2.2850    0.1000   90.0  A1   (B)  'L7066-1830-UH119', 'L7066-1830-UH119'
PL4701        2.9432    2.3551   90.0  A1   (B)  'L7366-1930H158', 'L7366-1930H158'
PL4702        2.5190    2.2820   90.0  A1   (B)  'L32250525H60', 'L32250525H60'
PL4801        2.9466    2.7419   90.0  A1   (B)  'L7366-1930H158', 'L7366-1930H158'
PL4802        2.9443    3.1082   90.0  A1   (B)  'L7366-1930H158', 'L7366-1930H158'
PL4803        2.4590    2.9370   90.0  A1   (B)  'L32250525H60', 'L32250525H60'
PL5001        4.4473    3.8464   90.0  A1   (B)  'L7066-1830-UH119', 'L7066-1830-UH119'
PL5101        2.2410    0.4170  270.0  A1   (B)  'L7066-1830-UH119', 'L7066-1830-UH119'
PL5201        6.4340    2.3100  180.0  A1   (B)  'L7066-1830-UH119', 'L7066-1830-UH119'
PL8508        6.0170    3.9730   90.0  A1   (B)  'L6965-1530H158', 'L6965-1530H158'
PL8509        6.0170    3.6980   90.0  A1   (B)  'L6965-1530H158', 'L6965-1530H158'
PL8602        6.4270    3.2880   90.0  A1   (B)  'L2520-D620H48', 'L2520-D620H48'
PL8603        7.8820    1.9900   90.0  A1   (B)  'L4947-1115H119', 'L4947-1115H119'
D1701         5.0890    1.4620  270.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D2401         1.4840    1.3900  270.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D2402         2.6800    1.8600    0.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D2405         1.5680    1.5110    0.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D2501         8.8560    0.6300   90.0  A1   (T)  'SOT-23-9H44', 'SOT-23-9H44'
D2502         8.7270    0.7740    0.0  A1   (T)  'SOD323-2513AKH36', 'SOD323-2513AKH36'
D2503         8.8370    0.9100    0.0  A1   (T)  'SOT-23-9H44', 'SOT-23-9H44'
D2601         9.1570    2.6270  180.0  A1   (B)  'SOD323AKH38_B', 'SOD323AKH38_B'
D2703         1.5230    0.7180    0.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D2901         1.2130    0.5550  270.0  A1   (B)  'SC70-2D2-312H44', 'SC70-2D2-312H44'
D4001         8.7380    2.0270   90.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D4002         8.5150    1.8500    0.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D4003         8.5700    1.8500    0.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D4004         6.9490    2.6490  270.0  A1   (B)  'SOD523AKH26_B', 'SOD523AKH26_B'
D4301         1.7980    3.3360  270.0  A1   (B)  'D4724AKH44', 'D4724AKH44'
D4302         2.5620    1.9350  180.0  A1   (T)  'SOT23-2D4-312H44', 'SOT23-2D4-312H44'
D4303         1.3100    3.7780  180.0  A1   (B)  'SOT23-2D4-312H60', 'SOT23-2D4-312H60'
D4304         4.9340    0.2880    0.0  A1   (T)  'SOT23-2D4-312H44', 'SOT23-2D4-312H44'
D4305         5.0620    0.2160    0.0  A1   (T)  'SOT23-2D4-312H44', 'SOT23-2D4-312H44'
D4306         5.0790    0.0810  270.0  A1   (T)  'SOT23-2D4-312H44', 'SOT23-2D4-312H44'
D4307         5.2290    0.2190   90.0  A1   (T)  'SOD123AK-2H43', 'SOD123AK-2H43'
D4308         1.7100    2.8720  180.0  A1   (B)  'SOD323AKH38_B', 'SOD323AKH38_B'
D5502         2.0350    2.9500  270.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D5503         2.4293    3.2669  270.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D5701         1.3750    2.4420  270.0  A1   (B)  'SOT23-2D4-312H44_B', 'SOT23-2D4-312H44_B'
D6101         8.4510    2.1280  180.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D6102         8.3650    2.1300  180.0  A1   (T)  'SOD523AKH26', 'SOD523AKH26'
D6401         1.3130    3.4180  180.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D7001         9.0890    2.1970  180.0  A1   (B)  'SOT23-2D4-312H48', 'SOT23-2D4-312H48'
D7203         3.2450    3.5200    0.0  A1   (B)  'D4724AKH44', 'D4724AKH44'
D7601         6.8790    2.8770  270.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D7902         7.4270    2.5610  180.0  A1   (B)  'D1608-035030AKH28', 'D1608-035030AKH28'
D8601         7.5040    2.3650   90.0  A1   (B)  'SOT-23-9H44_B', 'SOT-23-9H44_B'
D8602         6.9980    2.8650   90.0  A1   (B)  'D1608-035030AKH28', 'D1608-035030AKH28'
PD4401        4.5500    0.5220   90.0  A1   (B)  'SOT23-2D4-312H48', 'SOT23-2D4-312H48'
PD4404        7.3590    0.5630   90.0  A1   (B)  'SOD323AKH44', 'SOD323AKH44'
PD4407        7.1150    0.0480  270.0  A1   (T)  'SOD323AKH38', 'SOD323AKH38'
PD4408        4.7050    0.5210   90.0  A1   (B)  'SOT23-2D4-312H48', 'SOT23-2D4-312H48'
PD4409        5.9720    0.5150   90.0  A1   (T)  'SOD323AKH38', 'SOD323AKH38'
PD4411        5.9980    0.6150  270.0  A1   (T)  'SOD323AKH38', 'SOD323AKH38'
PQ4402        8.9550    2.1800    0.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
PQ4405        7.1850    0.3900  180.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
PQ4408        7.0800    0.5100   90.0  A1   (B)  'SOT23CBE2D4H44', 'SOT23CBE2D4H44'
PQ4415        7.0520    0.1700   90.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
PQ4416        7.0710    0.3000  180.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
PQ4417        4.3400    0.1130    0.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
PQ4418        4.4560    0.2530    0.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q401          4.4730    3.6300  270.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q501          6.3520    1.4630  270.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q1701         5.1080    1.6170   90.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q1702         5.2230    1.6270  270.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q1801         6.2890    2.8500   90.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q1802         6.2310    1.7920    0.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q2001         5.6360    1.7630  270.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q2401         1.5090    1.2550   90.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q2408         1.4650    1.6640   90.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q2412         2.7030    1.2750  180.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q2414         1.6430    1.4270    0.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q2417         1.5670    1.8240    0.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q2501         8.7810    0.2620    0.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q2507         8.0588    0.9160  270.0  A1   (B)  'SOT23DGS2D4H48_B', 'SOT23DGS2D4H48_B'
Q2510         8.4140    0.8430  270.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q2601         2.8330    1.5120  180.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q2602         1.4450    1.5050  270.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q2603         2.9280    2.0850    0.0  A1   (B)  'SOT23CBE2D4H44', 'SOT23CBE2D4H44'
Q2704         2.7900    2.0890  180.0  A1   (B)  'SOT23DGS2D4H48_B', 'SOT23DGS2D4H48_B'
Q2705         2.7760    1.9120  180.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q4001         8.9744    1.6161  270.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q4301         1.1750    3.6970  180.0  A1   (B)  'SOT23DGS2D4H48_B', 'SOT23DGS2D4H48_B'
Q4302         1.7210    3.7320    0.0  A1   (T)  'SOT23CBE2D4H46-U', 'SOT23CBE2D4H46-U'
Q4304         1.5740    3.0960  180.0  A1   (B)  'SOT323CBE2D2H40', 'SOT323CBE2D2H40'
Q4305         1.6090    3.2410    0.0  A1   (B)  'SC70-2D2-312H44', 'SC70-2D2-312H44'
Q4348         1.8990    2.9820  270.0  A1   (B)  'SOT23DGS2D4H48_B', 'SOT23DGS2D4H48_B'
Q4349         1.7680    2.9950  270.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q5701         1.2430    2.5590  270.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q5702         1.2400    2.4300  180.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q5703         1.3520    2.6320    0.0  A1   (B)  'SOT23CBE2D4H44', 'SOT23CBE2D4H44'
Q6101         9.2260    2.1960    0.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q6102         1.6120    2.1210   90.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q6401         1.5260    3.7470   90.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q6402         1.3480    3.7740   90.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q6403         1.1610    3.4320    0.0  A1   (B)  'SOT23CBE2D6H62', 'SOT23CBE2D6H62'
Q6404         1.1580    3.5650   90.0  A1   (B)  'SOT23CBE2D6H62', 'SOT23CBE2D6H62'
Q6501         4.6510    0.3480    0.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q6502         4.2750    0.4970   90.0  A1   (B)  'SOT23CBE2D6H62', 'SOT23CBE2D6H62'
Q6503         7.6540    0.5730    0.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q6504         7.2070    0.5230  270.0  A1   (B)  'SOT23DGS2D4H48_B', 'SOT23DGS2D4H48_B'
Q6505         7.1760    0.1850  180.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q7001         9.0350    2.3110  270.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q7401         1.9980    2.9900  270.0  A1   (T)  'SOT23DGS2D4H48', 'SOT23DGS2D4H48'
Q7404         1.6100    3.0650    0.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q7405         1.4680    3.1260   90.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q7406         1.7250    3.1030   90.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q7407         1.6950    3.1700  180.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q7601         7.3210    3.5950    0.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q7901         7.5300    2.1900    0.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q7904         7.0650    2.9270    0.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q7906         8.3841    2.8300  270.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q7907         7.6520    2.3590    0.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q8101         8.6280    3.9400  270.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q8504         4.6660    3.9910   90.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q8509         4.7800    3.9990  180.0  A1   (T)  'SOT-363H44', 'SOT-363H44'
Q8601         6.3440    3.4250  270.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q8602         7.1100    3.8340  180.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q8603         7.0540    3.9320    0.0  A1   (B)  'SOT23DGS2D4H44_B', 'SOT23DGS2D4H44_B'
Q8605         4.5058    4.0602  270.0  A1   (T)  'SOT23DGS2D4H44', 'SOT23DGS2D4H44'
Q8606         7.2040    3.6380  180.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q8607         6.6970    3.7860  180.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q8608         6.9478    3.8381   90.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
Q8609         7.3910    2.3960  180.0  A1   (B)  'SOT-363H44_B', 'SOT-363H44_B'
CPU1          4.7598    2.7539   90.0  A1   (B)  'BGA1528M2446-1H52', 'BGA1528M2446-1H52'
PU4301        1.7860    3.2527  180.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4302        1.6343    3.2330  270.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4401        6.8340    0.3090  180.0  A1   (B)  'QFN32J4-G2D7H40', 'QFN32J4-G2D7H40'
PU4403        6.2633    0.1510  270.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4404        6.2867    0.3260   90.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4405        5.9607    0.3780   90.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4406        5.9593    0.2280  270.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4412        5.5047    0.1520   90.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4413        5.7140    0.2847  180.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
PU4501        8.2360    1.7380  180.0  A1   (T)  'QFN20Z3-G1D1H36', 'QFN20Z3-G1D1H36'
PU4502        2.6090    0.1058  180.0  A1   (B)  'QFN20Z3-G1D1H36_B', 'QFN20Z3-G1D1H36_B'
PU4601        2.0942    2.4946   90.0  A1   (B)  'QFN40J5-G3D6-DIFF-H34', 'QFN40J5-G3D6-DIFF-H34'
PU4701        2.6298    2.3423   90.0  A1   (T)  'QFN31G5-G4P-9H34', 'QFN31G5-G4P-9H34'
PU4801        2.6030    2.7360   90.0  A1   (T)  'QFN31G5-G4P-9H34', 'QFN31G5-G4P-9H34'
PU4802        2.6550    3.1450   90.0  A1   (T)  'QFN31G5-G4P-9H34', 'QFN31G5-G4P-9H34'
PU5001        4.0685    4.0110   90.0  A1   (B)  'DFN8G2-G1710-U1H40', 'DFN8G2-G1710-U1H40'
PU5002        4.2042    3.7816   90.0  A1   (B)  'PPAK-8P-3232H36_B', 'PPAK-8P-3232H36_B'
PU5003        4.2063    3.9290  270.0  A1   (B)  'PPAK-8P-3232H36_B', 'PPAK-8P-3232H36_B'
PU5101        2.5930    0.3890  270.0  A1   (B)  'QFN32J4-G3PH32', 'QFN32J4-G3PH32'
PU5201        6.4366    2.6077  180.0  A1   (B)  'QFN22G4-G2PH42', 'QFN22G4-G2PH42'
PU5401        4.0400    0.4490   90.0  A1   (B)  'SOIC8-G3627H67', 'SOIC8-G3627H67'
PU5403        3.1850    0.4450   90.0  A1   (B)  'SOIC8-G3627H67', 'SOIC8-G3627H67'
PU8510        5.6850    3.9420  180.0  A1   (T)  'PPAK-8P-G5324H44-COLAY', 'PPAK-8P-G5324H44-COLAY'
PU8512        5.6850    3.9420    0.0  A1   (B)  'PPAK-8P-G5324H44-COLAY_B', 'PPAK-8P-G5324H44-COLAY_B'
PU8514        5.2380    3.8240    0.0  A1   (T)  'QFN20-G1D75H32', 'QFN20-G1D75H32'
PU8515        5.6860    3.6520    0.0  A1   (T)  'PPAK-8P-G5324H44-COLAY', 'PPAK-8P-G5324H44-COLAY'
PU8516        5.6860    3.6520  180.0  A1   (B)  'PPAK-8P-G5324H44-COLAY_B', 'PPAK-8P-G5324H44-COLAY_B'
PU8602        7.6870    2.0050    0.0  A1   (B)  'QFN20Z3-G1H36', 'QFN20Z3-G1H36'
PU8603        6.2980    3.2640   90.0  A1   (B)  'DFN8-G125065H32', 'DFN8-G125065H32'
U2401         2.0736    1.5949  270.0  A1   (T)  'TQFP128-2H48', 'TQFP128-2H48'
U2501         7.8788    1.2330  270.0  A1   (B)  'SOIC8-1H86', 'SOIC8-1H86'
U2502         7.1785    2.3285  270.0  A1   (B)  'SOT-23-5H56', 'SOT-23-5H56'
U2701         1.4670    0.5120  270.0  A1   (T)  'QFN40J5-G3D75H36', 'QFN40J5-G3D75H36'
U3403         7.9820    0.5080   90.0  A1   (B)  'SOT-23-5H56', 'SOT-23-5H56'
U3502         1.2590    1.9910   90.0  A1   (B)  'SOT-23-5H56', 'SOT-23-5H56'
U3601         1.3160    1.1560    0.0  A1   (B)  'QFN16-G1D8-UH32', 'QFN16-G1D8-UH32'
U4001         8.8540    1.7600  180.0  A1   (T)  'SON14J3020-G2610H32', 'SON14J3020-G2610H32'
U4002         6.8210    2.3640  180.0  A1   (B)  'DFN8F3-G2517H32', 'DFN8F3-G2517H32'
U4003         8.8600    1.5100    0.0  A1   (T)  'SON14J3020-G2610H32', 'SON14J3020-G2610H32'
U4004         6.9710    2.3510  270.0  A1   (B)  'DFN8F3-G2517H32', 'DFN8F3-G2517H32'
U4006         4.8740    3.9770  270.0  A1   (B)  'DFN8F3-G2517H32', 'DFN8F3-G2517H32'
U4007         6.9550    2.7500  180.0  A1   (B)  'SC70-5H44_B', 'SC70-5H44_B'
U4302         1.8610    3.1280  180.0  A1   (B)  'SOT-23-5H52', 'SOT-23-5H52'
U5501         2.2150    2.9750    0.0  A1   (B)  'SOT-23-5H56', 'SOT-23-5H56'
U5502         3.0470    3.4500    0.0  A1   (B)  'SOT-23-5H58', 'SOT-23-5H58'
U6001         8.1884    0.7788  180.0  A1   (B)  'QFN20-G2D25H32', 'QFN20-G2D25H32'
U6402         1.7210    2.1930    0.0  A1   (T)  'SC70-5H44', 'SC70-5H44'
U7001         7.1130    1.9460  180.0  A1   (T)  'LGA12G2H40', 'LGA12G2H40'
U7204         3.5550    3.7900  180.0  A1   (T)  'BGA96G60-1H40', 'BGA96G60-1H40'
U7205         3.4550    3.5450  270.0  A1   (B)  'DFN8A5060-G435345H32', 'DFN8A5060-G435345H32'
U7301         1.5754    2.6632   90.0  A1   (T)  'QFN40J4060-G2848H32', 'QFN40J4060-G2848H32'
U7418         1.4417    3.2600   90.0  A1   (T)  'PPAK-8P-3232H36', 'PPAK-8P-3232H36'
U7419         1.3430    3.2230  270.0  A1   (B)  'CSP15G154256H24', 'CSP15G154256H24'
U7601         6.8550    3.1090    0.0  A1   (B)  'SC70-5-1H44', 'SC70-5-1H44'
U8502         4.9040    3.7950  270.0  A1   (B)  'SC70-5-1H44', 'SC70-5-1H44'
U8601         7.3550    3.8200   90.0  A1   (B)  'DFN14J3020-G255D85H32', 'DFN14J3020-G255D85H32'
U8604         6.4990    3.4310  180.0  A1   (B)  'SC70-5-1H44', 'SC70-5-1H44'
U8605         6.6460    3.4320   90.0  A1   (B)  'SC70-5-1H44', 'SC70-5-1H44'
U9101         8.5200    1.2650  270.0  A1   (T)  'QFN32G5-G3D6H32-COLAY', 'QFN32G5-G3D6H32-COLAY'
AUD1          0.7569    0.1634  270.0  A1   (B)  '2SJ3166-007111F', '2SJ3166-007111F'
BATT1         5.2283    0.4523  180.0  A1   (B)  '3806K-F10N-03L', '3806K-F10N-03L'
DBG1          1.9440    2.1243  180.0  A1   (B)  '87212-1400N', '87212-1400N'
DBG3          4.1297    0.1348    0.0  A1   (T)  '50696-00601-001', '50696-00601-001'
DCIN1         1.5984    3.5064    0.0  A1   (B)  '50224-0080N-W02-U', '50224-0080N-W02-U'
DM1           3.0925    0.9764    0.0  A1   (B)  '40-42271-26001RHF-WD-U', '40-42271-26001RHF-WD-U'
DM2           6.1240    0.9764    0.0  A1   (B)  '40-42271-26001RHF-WD-U', '40-42271-26001RHF-WD-U'
ED301         4.7900    3.6080  180.0  A1   (T)  'SOT23-2D4-312H46', 'SOT23-2D4-312H46'
ED502         6.2370    1.5770   90.0  A1   (T)  'SOT23-2D4-312H44', 'SOT23-2D4-312H44'
ED1217        2.7550    0.6060  180.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED1302        5.8360    0.5950  270.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED1701        5.7790    1.5130  270.0  A1   (T)  'SOT23-2D4-312H46', 'SOT23-2D4-312H46'
ED1702        6.2070    2.4370  270.0  A1   (B)  'SOT23-2D4-312H46_B', 'SOT23-2D4-312H46_B'
ED1703        5.2200    1.4790  270.0  A1   (T)  'SOT23-2D4-312H46', 'SOT23-2D4-312H46'
ED1704        5.0690    3.5790  270.0  A1   (T)  'SOT23-2D4-312H46', 'SOT23-2D4-312H46'
ED1801        5.1050    1.8580    0.0  A1   (T)  'SOT23-2D4-312H46', 'SOT23-2D4-312H46'
ED2403        1.5020    1.7300  270.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED2907        1.0870    0.4050  180.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED2908        1.1590   -0.0010   90.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED2909        1.1070    0.4560  270.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED2910        1.1130    0.0850   90.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED2911        1.1130    0.1760   90.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED2912        1.0560    0.4050    0.0  A1   (B)  'SOD882-10D6-1H20_B', 'SOD882-10D6-1H20_B'
ED3501        1.2170    0.9160  270.0  A1   (T)  'DFN10G2510-1H20', 'DFN10G2510-1H20'
ED3502        1.2240    1.4140    0.0  A1   (B)  'SOT-6H58', 'SOT-6H58'
ED3504        1.1890    1.6240   90.0  A1   (B)  'DFN10G2510-1H20_B', 'DFN10G2510-1H20_B'
ED4001        8.7290    1.8660  180.0  A1   (T)  'SOT23-2D4-312H44', 'SOT23-2D4-312H44'
ED5701        1.1200    2.1550   90.0  A1   (B)  'DFN10G2510-1H20_B', 'DFN10G2510-1H20_B'
ED5702        1.1210    2.2930   90.0  A1   (B)  'DFN10G2510-1H20_B', 'DFN10G2510-1H20_B'
ED5703        1.1000    2.4410   90.0  A1   (T)  'DFN10G2510-1H20', 'DFN10G2510-1H20'
ED6001        8.1360    0.4750  180.0  A1   (B)  'DFN10G2510-1H20_B', 'DFN10G2510-1H20_B'
ED6301        8.6010    0.4170   90.0  A1   (B)  'SLP2510P8-1H22', 'SLP2510P8-1H22'
ED6401        9.2700    1.7000  180.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
ED7301        1.0460    3.2480   90.0  A1   (T)  'DFN10G2510-1H20', 'DFN10G2510-1H20'
ED7302        1.0830    3.0870   90.0  A1   (T)  'DFN10G2510-1H20', 'DFN10G2510-1H20'
ED7303        1.8210    2.8440  270.0  A1   (T)  'SOT883-1D0-321H20', 'SOT883-1D0-321H20'
ED7304        1.2190    3.3170  270.0  A1   (T)  'SOT883-1D0-321H20', 'SOT883-1D0-321H20'
ED7305        1.0300    3.3950  270.0  A1   (T)  'SOT883-1D0-321H20', 'SOT883-1D0-321H20'
ED7306        0.9230    3.2920  180.0  A1   (T)  'SOT883-1D0-321H20', 'SOT883-1D0-321H20'
ED7307        9.0140    0.2310   90.0  A1   (T)  'SOD882-10D6-1H20', 'SOD882-10D6-1H20'
EL3501        1.3830    1.4700  270.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL3502        1.3000    0.9530  180.0  A1   (T)  'L125100-4P-4H24', 'L125100-4P-4H24'
EL3503        1.3010    0.8850  180.0  A1   (T)  'L125100-4P-4H24', 'L125100-4P-4H24'
EL3504        1.2740    1.6550  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL3505        1.2740    1.5950  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL3506        1.3220    1.4370  270.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL4301        1.7780    3.4560    0.0  A1   (T)  'R805H24', 'R805H24'
EL4302        1.7070    3.4560    0.0  A1   (T)  'R805H24', 'R805H24'
EL4303        1.3230    3.5200  270.0  A1   (B)  'R805H24_B', 'R805H24_B'
EL4304        1.4350    3.6050  270.0  A1   (T)  'R805H24', 'R805H24'
EL5501        2.6010    3.3940  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL5701        1.2270    2.3260  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL5702        1.2270    2.1920  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL5703        1.2270    2.1200  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL5704        1.2270    2.2580  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
EL6101        8.7251    2.2455  180.0  A1   (T)  'L125100-4P-4H28', 'L125100-4P-4H28'
EL7301        1.2190    3.3170  180.0  A1   (B)  'L125100-4P-4H24_B', 'L125100-4P-4H24_B'
