 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
PR4645        1.8928    2.6713  270.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR4646        2.7640    2.5560   90.0  A1   (B)  'NTC-402H22-U_B', 'NTC-402H22-U_B'
PR4647        1.8260    2.6520  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4648        2.2950    2.6580   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4649        2.3030    2.7570  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4650        2.7640    2.5250  270.0  A1   (B)  'NTC-402H22-U_B', 'NTC-402H22-U_B'
PR4651        2.2950    2.6880   90.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR4652        2.2540    2.7620   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4653        2.2570    2.8530   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4654        2.4300    2.2310  270.0  A1   (T)  'NTC-402H22-U', 'NTC-402H22-U'
PR4655        2.0010    2.7680  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4656        2.0510    2.7830    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4657        2.1240    2.7080  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4658        2.1119    2.7591    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4659        2.1910    2.7080   90.0  A1   (B)  'R402H14_B', 'R402H14_B'
PR4660        2.1419    2.7591    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4661        2.0004    2.8303   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4662        2.0650    2.6790  315.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR4663        2.1160    2.8730   90.0  A1   (B)  'R402H14_B', 'R402H14_B'
PR4665        1.7780    2.4510   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4666        1.7780    2.4820   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4667        2.1720    2.8206  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4668        2.2044    2.8203  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4669        1.9422    2.7181  180.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR4670        1.9230    2.6040  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4671        1.9081    2.4377   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4672        1.9490    2.3210   90.0  A1   (T)  'R402H16', 'R402H16'
PR4701        2.3690    2.7220    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4702        2.4590    2.4440  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4703        2.9350    2.3500   90.0  A1   (T)  'R1206H28', 'R1206H28'
PR4704        2.5404    2.4261   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
