 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               21-March-2018 15:57

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    0.715       3.552       0.000
    0.713       3.547       0.000
    0.710       3.543       0.000
    0.706       3.540       0.000
    0.701       3.538       0.000
    0.696       3.537       0.000
    0.696       3.234       0.000
    0.701       3.234       0.000
    0.706       3.232       0.000
    0.710       3.228       0.000
    0.713       3.224       0.000
    0.715       3.220       0.000
    0.716       3.215       0.000
    0.715       3.209       0.000
    0.713       3.205       0.000
    0.710       3.201       0.000
    0.706       3.198       0.000
    0.701       3.196       0.000
    0.696       3.195       0.000
    0.543       3.195       0.000
    0.538       3.194       0.000
    0.533       3.192       0.000
    0.529       3.189       0.000
    0.526       3.185       0.000
    0.524       3.180       0.000
    0.523       3.175       0.000
    0.523       2.872       0.000
    0.524       2.867       0.000
    0.526       2.862       0.000
    0.529       2.858       0.000
    0.533       2.855       0.000
    0.538       2.853       0.000
    0.543       2.852       0.000
    0.543       2.852       0.000
